#Year,Month,Port1,Port2,Route,$Value,$Real
2022,5,Port Macquarie,Sydney,Port Macquarie - Sydney,298.95,317.9159001
2015,9,Brisbane,Mackay,Brisbane - Mackay,188,233.4333333
2013,1,Armidale,Sydney,Armidale - Sydney,294,385.0136719
2018,2,Brisbane,Melbourne,Brisbane - Melbourne,208,247.7158082
2016,12,Paraburdoo,Perth,Paraburdoo - Perth,640,780.2181818
2013,4,Melbourne,Newcastle,Melbourne - Newcastle,148,193.0622568
2012,2,Bundaberg,Brisbane,Bundaberg - Brisbane,322,432.2342342
2010,4,Brisbane,Townsville,Brisbane - Townsville,148,207.1691023
2010,5,Melbourne,Mildura,Melbourne - Mildura,198,277.1586639
2012,11,Melbourne,Newcastle,Melbourne - Newcastle,138,181.4294118
2015,10,Cairns,Sydney,Cairns - Sydney,360,445.3505535
2016,5,Perth,Sydney,Perth - Sydney,328,405.0165746
2016,7,Brisbane,Cairns,Brisbane - Cairns,188,230.4460695
2012,1,Canberra,Melbourne,Canberra - Melbourne,209,280.5495495
2020,2,Cairns,Gold Coast,Cairns - Gold Coast,266,305.922813
2012,10,Sydney,Wagga Wagga,Sydney - Wagga Wagga,225.92,297.0183529
2022,12,Ayers Rock,Sydney,Ayers Rock - Sydney,855,876.5711009
2018,8,Brisbane,Hamilton Island,Brisbane - Hamilton Island,511.77,604.6551278
2021,9,Melbourne,Townsville,Melbourne - Townsville,275,308.0827068
2010,9,Hobart,Melbourne,Hobart - Melbourne,77.9,108.2527461
2018,1,Hamilton Island,Sydney,Hamilton Island - Sydney,334,397.7744227
2015,2,Perth,Port Hedland,Perth - Port Hedland,738,926.6460674
2012,7,Brisbane,Rockhampton,Brisbane - Rockhampton,180,237.1119843
2019,9,Cairns,Gold Coast,Cairns - Gold Coast,240,278.8908146
2014,11,Darwin,Melbourne,Darwin - Melbourne,438,550.9924953
2017,9,Devonport,Melbourne,Devonport - Melbourne,309,371.964991
2020,4,Melbourne,Sydney,Melbourne - Sydney,146,171.1416084
2012,2,Broome,Perth,Broome - Perth,430,577.2072072
2019,12,Brisbane,Hobart,Brisbane - Hobart,631,728.2022375
2022,8,Adelaide,Sydney,Adelaide - Sydney,277,289.296729
2022,7,Darwin,Perth,Darwin - Perth,994,1038.126168
2020,2,Cairns,Sydney,Cairns - Sydney,250,287.5214408
2016,8,Brisbane,Mackay,Brisbane - Mackay,178,218.1882998
2021,6,Launceston,Sydney,Launceston - Sydney,144,162.5454545
2011,2,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137.9,188.1219736
2023,8,Avalon,Gold Coast,Avalon - Gold Coast,238,238
2016,9,Darwin,Sydney,Darwin - Sydney,488,598.179159
2017,4,Sunshine Coast,Sydney,Sunshine Coast - Sydney,198,239.8536585
2018,9,Adelaide,Melbourne,Adelaide - Melbourne,145,171.3171806
2023,3,Devonport,Melbourne,Devonport - Melbourne,409,413.6266968
2015,4,Canberra,Sydney,Canberra - Sydney,278,346.7888372
2021,6,Sydney,Tamworth,Sydney - Tamworth,296,334.1212121
2013,8,Newcastle,Gold Coast,Newcastle - Gold Coast,138,177.9403846
2011,10,Darwin,Perth,Darwin - Perth,396,532.1002004
2015,4,Sunshine Coast,Sydney,Sunshine Coast - Sydney,144,179.6316279
2018,6,Paraburdoo,Perth,Paraburdoo - Perth,832,987.3557522
2019,3,Adelaide,Melbourne,Adelaide - Melbourne,132,155.1375986
2018,6,Launceston,Sydney,Launceston - Sydney,200,237.3451327
2017,5,Armidale,Sydney,Armidale - Sydney,265.21,321.2706504
2018,10,Brisbane,Melbourne,Brisbane - Melbourne,258.9,304.2812445
2015,12,Perth,Sydney,Perth - Sydney,498,616.0682657
2014,3,Newcastle,Gold Coast,Newcastle - Gold Coast,148,188.2998102
2011,11,Gold Coast,Sydney,Gold Coast - Sydney,163,219.0210421
2019,7,Brisbane,Cairns,Brisbane - Cairns,250,290.5112652
2011,6,Hobart,Melbourne,Hobart - Melbourne,89.9,121.528125
2017,11,Brisbane,Townsville,Brisbane - Townsville,198,236.8581624
2013,4,Perth,Port Hedland,Perth - Port Hedland,534,696.5894942
2020,8,Paraburdoo,Perth,Paraburdoo - Perth,704,812.4475043
2012,3,Alice Springs,Sydney,Alice Springs - Sydney,660,885.9459459
2010,9,Hamilton Island,Sydney,Hamilton Island - Sydney,490,680.9222798
2012,8,Melbourne,Sydney,Melbourne - Sydney,90,118.5559921
2014,12,Sydney,Wagga Wagga,Sydney - Wagga Wagga,224.07,281.8741745
2012,4,Brisbane,Sydney,Brisbane - Sydney,114,152.2649402
2017,8,Brisbane,Gladstone,Brisbane - Gladstone,270,325.0179533
2018,12,Canberra,Melbourne,Canberra - Melbourne,274.9,323.0858019
2015,2,Brisbane,Melbourne,Brisbane - Melbourne,160,200.8988764
2014,3,Perth,Port Hedland,Perth - Port Hedland,570,725.2087287
2012,4,Hamilton Island,Sydney,Hamilton Island - Sydney,404,539.6055777
2021,3,Darwin,Sydney,Darwin - Sydney,446,507.2824427
2011,9,Perth,Port Hedland,Perth - Port Hedland,549,737.6843687
2014,3,Adelaide,Gold Coast,Adelaide - Gold Coast,268,340.9753321
2015,11,Melbourne,Mildura,Melbourne - Mildura,250,309.2712177
2011,6,Canberra,Sydney,Canberra - Sydney,198,267.6592742
2014,8,Brisbane,Mackay,Brisbane - Mackay,148,186.5300752
2019,6,Brisbane,Emerald,Brisbane - Emerald,358,418.1864111
2015,9,Canberra,Melbourne,Canberra - Melbourne,338,419.6833333
2011,11,Armidale,Sydney,Armidale - Sydney,284,381.6072144
2022,12,Gold Coast,Sydney,Gold Coast - Sydney,297,304.4931193
2019,4,Dubbo,Sydney,Dubbo - Sydney,337.81,394.6020993
2011,11,Launceston,Melbourne,Launceston - Melbourne,144,193.490982
2011,11,Brisbane,Hamilton Island,Brisbane - Hamilton Island,228,306.3607214
2014,11,Sunshine Coast,Sydney,Sunshine Coast - Sydney,158,198.7598499
2020,12,Melbourne,Newcastle,Melbourne - Newcastle,133,152.1783276
2015,4,Brisbane,Proserpine,Brisbane - Proserpine,134,167.1572093
2010,6,Brisbane,Perth,Brisbane - Perth,648,907.0647182
2015,12,Sydney,Tamworth,Sydney - Tamworth,218,269.6845018
2013,7,Hobart,Melbourne,Hobart - Melbourne,78,100.575
2011,5,Broome,Perth,Broome - Perth,453,612.3719758
2022,9,Brisbane,Newcastle,Brisbane - Newcastle,217,226.6331776
2013,5,Bundaberg,Brisbane,Bundaberg - Brisbane,218,284.3754864
2015,11,Adelaide,Canberra,Adelaide - Canberra,458,566.5848708
2016,3,Brisbane,Gladstone,Brisbane - Gladstone,190,235.4805915
2010,4,Melbourne,Perth,Melbourne - Perth,296,414.3382046
2013,10,Sydney,Tamworth,Sydney - Tamworth,220,281.5076336
2023,6,Hobart,Melbourne,Hobart - Melbourne,187,187
2017,6,Brisbane,Canberra,Brisbane - Canberra,390,472.4390244
2023,5,Adelaide,Melbourne,Adelaide - Melbourne,143,143
2020,11,Perth,Newman,Perth - Newman,708,810.0921502
2018,10,Brisbane,Hobart,Brisbane - Hobart,375,440.7318142
2012,10,Gold Coast,Sydney,Gold Coast - Sydney,114,149.8764706
2010,2,Launceston,Melbourne,Launceston - Melbourne,103,145.0871849
2020,9,Brisbane,Darwin,Brisbane - Darwin,240,276.9707401
2013,5,Brisbane,Perth,Brisbane - Perth,378,493.0914397
2012,9,Cairns,Gold Coast,Cairns - Gold Coast,338,445.2436149
2023,8,Canberra,Sydney,Canberra - Sydney,419,419
2019,3,Bundaberg,Brisbane,Bundaberg - Brisbane,312,366.6888694
2011,2,Launceston,Sydney,Launceston - Sydney,168,229.1841302
2011,1,Brisbane,Proserpine,Brisbane - Proserpine,118,160.9745677
2017,10,Sydney,Townsville,Sydney - Townsville,288,344.5209634
2022,4,Melbourne,Perth,Melbourne - Perth,317,337.111023
2012,3,Albury,Sydney,Albury - Sydney,172.5,231.5540541
2022,6,Sydney,Townsville,Sydney - Townsville,344,365.8239492
2013,9,Geraldton,Perth,Geraldton - Perth,324,417.7730769
2022,1,Perth,Port Hedland,Perth - Port Hedland,558.01,603.9478692
2019,10,Ballina,Sydney,Ballina - Sydney,173,199.6497418
2019,11,Launceston,Melbourne,Launceston - Melbourne,167,192.7254733
2017,10,Adelaide,Darwin,Adelaide - Darwin,368,440.221231
2012,11,Brisbane,Melbourne,Brisbane - Melbourne,169.9,223.3685294
2022,12,Devonport,Melbourne,Devonport - Melbourne,519,532.0940367
2019,11,Cairns,Sydney,Cairns - Sydney,261.9,302.2443201
2016,11,Dubbo,Sydney,Dubbo - Sydney,300,365.7272727
2013,6,Armidale,Sydney,Armidale - Sydney,298,388.733463
2019,10,Brisbane,Hamilton Island,Brisbane - Hamilton Island,434,500.8554217
2010,7,Ballina,Sydney,Ballina - Sydney,128,177.8735751
2017,11,Armidale,Sydney,Armidale - Sydney,280.61,335.6806512
2015,4,Brisbane,Roma,Brisbane - Roma,280,349.2837209
2017,11,Brisbane,Gladstone,Brisbane - Gladstone,278,332.55843
2013,12,Brisbane,Townsville,Brisbane - Townsville,288,368.519084
2015,4,Brisbane,Gladstone,Brisbane - Gladstone,258,321.84
2014,9,Devonport,Melbourne,Devonport - Melbourne,309,389.4445489
2019,12,Hamilton Island,Sydney,Hamilton Island - Sydney,489,564.327883
2020,7,Brisbane,Townsville,Brisbane - Townsville,225,259.6600688
2018,5,Darwin,Melbourne,Darwin - Melbourne,538,638.4584071
2011,9,Geraldton,Perth,Geraldton - Perth,351.18,471.8761323
2023,6,Kalgoorlie,Perth,Kalgoorlie - Perth,558.01,558.01
2021,5,Port Macquarie,Sydney,Port Macquarie - Sydney,198,223.5
2019,3,Brisbane,Newcastle,Brisbane - Newcastle,146,171.5915863
2016,7,Launceston,Melbourne,Launceston - Melbourne,100,122.5776965
2017,11,Newcastle,Gold Coast,Newcastle - Gold Coast,140,167.4754683
2019,7,Bundaberg,Brisbane,Bundaberg - Brisbane,295.04,342.8497747
